station,line,latitude,longitude,postcode
Adenauerplatz,U7,52.499722222,13.307222222,10707
Afrikanische Straße,U6,52.560027777,13.334633333,13349
Alexanderplatz,U5,52.521388888,13.411944444,10178
Alexanderplatz,U2,52.521388888,13.411944444,10178
Alexanderplatz,U8,52.521388888,13.411944444,10178
Alexanderplatz,Berliner Stadtbahn,52.521388888,13.411944444,10178
Alt-Mariendorf,U6,52.4391,13.3877,12107
Alt-Tegel,U6,52.58944,13.28389,13507
Alt-Tempelhof,U6,52.465952777,13.385897222,12099
Alt-Tempelhof,,52.465952777,13.385897222,12099
Altstadt Spandau,U7,52.538888888,13.206388888,13597
Amrumer Straße,U9,52.5425,13.350277777,13353
Amrumer Straße,,52.5425,13.350277777,13353
Amrumer Straße,U6,52.5425,13.350277777,13353
Augsburger Straße,U3,52.500555555,13.336388888,10789
Augsburger Straße,U9,52.500555555,13.336388888,10789
Augsburger Straße,U1,52.500555555,13.336388888,10789
Augsburger Straße,U2,52.500555555,13.336388888,10789
Bayerischer Platz,U4,52.488333333,13.340277777,10779
Bayerischer Platz,U7,52.488333333,13.340277777,10779
Bayerischer Platz,U9,52.488333333,13.340277777,10779
Berliner Straße,U7,52.487222222,13.330833333,10715
Berliner Straße,U9,52.487222222,13.330833333,10715
Bernauer Straße,U8,52.5375,13.396666666,10115
Beusselstraße,U9,52.534444,13.329444,
Biesdorf-Süd,U5,52.4997,13.5465,12683
Birkenstraße,U9,52.532222222,13.341388888,10551
Birkenstraße,,52.532222222,13.341388888,10551
Bismarckstraße,U2,52.511388888,13.305,10627
Bismarckstraße,U7,52.511388888,13.305,10627
Blaschkoallee,U7,52.451944444,13.449444444,12359
Blissestraße,U7,52.486666666,13.321944444,10715
Boddinstraße,U8,52.48,13.425277777,12049
Boddinstraße,U7,52.48,13.425277777,12049
Borsigwerke,U6,52.5819,13.2907,13507
Brandenburger Tor,U55,52.516388888,13.380833333,10117
Brandenburger Tor,,52.516388888,13.380833333,10117
Breitenbachplatz,U3,52.466388888,13.308055555,14195
Britz-Süd,U7,52.437777777,13.448055555,12359
Bundesplatz,U7,52.478080555,13.328519444,10715
Bundesplatz,U9,52.478080555,13.328519444,10715
Bundesplatz,U4,52.478080555,13.328519444,10715
Bundesplatz,U3,52.478080555,13.328519444,10715
Bundesplatz,Berliner Ringbahn,52.478080555,13.328519444,10715
Bundestag,U55,52.520013888,13.373005555,10557
